Ip,Throughput
172.217.20.15,0.812
172.217.20.17,0.486
172.217.20.18,0.801
172.217.20.21,0.825
172.217.20.22,0.851
172.217.20.23,0.876
172.217.20.24,0.82
172.217.20.25,0.974
172.217.20.26,0.874
172.217.20.27,0.824
172.217.20.28,0.813
172.217.20.29,0.866
172.217.20.30,0.832
172.217.20.31,0.382
172.217.20.32,0.795
172.217.20.33,0.781
172.217.20.34,0.847
172.217.20.35,0.734
172.217.20.36,0.699
172.217.20.37,0.804
172.217.20.38,0.748
172.217.20.39,0.805
172.217.20.40,0.826
172.217.20.41,0.828
172.217.20.42,0.789
172.217.20.43,0.444
172.217.20.45,0.751
172.217.20.46,0.761
172.217.20.47,0.932
172.217.20.49,0.57
172.217.20.50,0.591
172.217.20.53,0.838
172.217.20.54,0.84
172.217.20.55,0.808
172.217.20.56,0.787
172.217.20.57,0.943
172.217.20.58,0.896
172.217.20.59,0.92
172.217.20.60,0.817
172.217.20.61,0.791
172.217.20.62,0.869
172.217.20.63,0.771
172.217.20.64,1.115
172.217.20.65,1.309
172.217.20.66,1.18
172.217.20.67,1.009
172.217.20.68,1.073
172.217.20.69,1.095
172.217.20.70,1.089
172.217.20.71,1.067
172.217.20.72,1.074
172.217.20.73,1.145
172.217.20.74,1.083
172.217.20.75,1.111
172.217.20.77,1.084
172.217.20.78,1.129
172.217.20.79,1.15
172.217.20.81,0.728
172.217.20.82,0.432
172.217.20.85,1.076
172.217.20.86,0.971
172.217.20.87,0.924
172.217.20.88,1.071
172.217.20.89,1.234
172.217.20.90,1.176
172.217.20.91,1.136
172.217.20.92,1.058
172.217.20.93,1.16
172.217.20.94,1.072
172.217.20.95,1.086
172.217.20.96,1.04
172.217.20.97,1.183
172.217.20.98,1.099
172.217.20.99,1.033
172.217.20.100,1.165
172.217.20.101,1.029
172.217.20.102,0.803
172.217.20.103,1.047
172.217.20.104,1.004
172.217.20.105,1.051
172.217.20.106,1.038
172.217.20.107,1.047
172.217.20.109,0.977
172.217.20.110,1.039
172.217.20.111,1.051
172.217.20.113,0.901
172.217.20.114,0.776
172.217.20.117,0.476
172.217.20.118,0.572
172.217.20.119,0.988
172.217.20.120,1.101
172.217.20.121,1.005
172.217.20.122,1.037
172.217.20.123,1.05
172.217.20.124,1.08
172.217.20.125,0.994
172.217.20.126,1.208
172.217.20.127,1.029
172.217.20.128,1.153
172.217.20.129,1.028
172.217.20.130,1.245
